Name;Mayores a 1;Pago 2;Despachos 2;Monedas 2;Shipping Method 2;Shipping Method;Cantidad;Producto;Precio oferta;Venta total;Precio normal;SKU;status despacho;Region 2
43236;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;19990;44990;1838072038;fulfilled;RM
43235;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Toronto Leopardo Premium - Beige / 37;19990;19990;39990;100075437;fulfilled;RM
43234;Solo 1;Pagado;Despachado;CLP;Despacho Region;Despacho Region;1;Zapatilla Brisbane Negro Premium - Negro / 38;19990;19990;49990;1003202038;fulfilled;NB
43233;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;19990;44990;1838072036;fulfilled;RM
43232;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 35;19990;19990;39990;6001202035;fulfilled;RM
43231;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;19990;44990;1838072036;fulfilled;RM
43230;Solo 1;Pagado;Despachado;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Marilyn Beige Premium - Beige / 38;29990;29990;0;3611074438;fulfilled;RM
43229;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Paris Burdeo Premium - Burdeo / 38;19990;19990;39990;8172078538;fulfilled;RM
43228;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Bota  Cleveland Negro Premium - Negro / 39;19990;19990;89990;1002039;fulfilled;RM
43227;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 35;19990;19990;39990;6001202035;fulfilled;RM
43226;Mayor a 1;Pagado;Despachado;CLP;Despacho Region;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;19990;44990;1838072038;fulfilled;LI
43226;Mayor a 1;Pagado;Despachado;CLP;Despacho Region;;1;Botin Bucarest Taupe Premium - Taupe / 38;19990;19990;39990;3332184238;fulfilled;LI
43226;Mayor a 1;Pagado;Despachado;CLP;Despacho Region;;1;Botin Grecia Negro Premium - Negro / 38;9990;9990;39990;318072038;fulfilled;LI
43225;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 35;19990;19990;39990;6001202035;fulfilled;RM
